2021-10-22 11:50: Experiment log path in: /content/AGCRN/model/experiments/PEMSD8/20211022115037
2021-10-22 11:50: Train Epoch 1: 0/334 Loss: 221.499680
2021-10-22 11:50: Train Epoch 1: 20/334 Loss: 238.069656
2021-10-22 11:50: Train Epoch 1: 40/334 Loss: 237.405624
2021-10-22 11:50: Train Epoch 1: 60/334 Loss: 193.663132
2021-10-22 11:50: Train Epoch 1: 80/334 Loss: 200.578552
2021-10-22 11:51: Train Epoch 1: 100/334 Loss: 214.851181
2021-10-22 11:51: Train Epoch 1: 120/334 Loss: 210.403473
2021-10-22 11:51: Train Epoch 1: 140/334 Loss: 198.670685
2021-10-22 11:51: Train Epoch 1: 160/334 Loss: 204.274033
2021-10-22 11:51: Train Epoch 1: 180/334 Loss: 178.502899
2021-10-22 11:51: Train Epoch 1: 200/334 Loss: 157.496399
